name,author,publisher,publication_year,pages_count,ISBN,book_type,explanation,book_img
Azrail Aynası,Cüneyt Ülsever,Doğan Kitap,2011,,9786050903003,Posliiye,"Azrail aynası İstanbul'da her gece ama her gece can alır!İnsan tek yumurta ikizine baktığında aynaya baktığını sanır. Bir müddet sonra ayna mı gerçek, yoksa kardeşi mi, birbirine karışır.Kimi boy aynasına bakar, kimi dev aynasına, kimi Azrail aynasına...Azrail aynası her gece başka bir surete bürünür.Bazılarına önce boy aynası olur, sonra aniden dev aynası görüntüsü alır. Ama sonunda mutlaka aslına dönüşür.Çünkü işlevi hep aynıdır…Azrail aynası İstanbul'da her gece ama her gece can alır!Amerika'dan Türkiye'ye uzanan seri cinayetler…Parçalanmış kadın bedenleri…Katilin peşinde üç komiser…Ve onlara yardımcı olmaya çalışan bir psikiyatr…Okura tuzaklar kuran bir roman…İnce Kapak: Sayfa Sayısı: 303Baskı Yılı: 2011e-Kitap: Sayfa Sayısı: 275Baskı Yılı: 2011Dili: TürkçeYayınevi: Doğan Kitap                            ",https://i.idefix.com/cache/150x242-0/originals/0000000380857-1.jpg
Altın Gözlüğün Esrarı-Sherlock Holmes,Sir Arthur Conan Doyle,Martı Yayınları,2019,,9786051868790,Polisiye,"Kanunun diğer yanında yer alsaydım, en başarılı suçlu olurdum. Sherlock Holmesİnsan beyninde çözülemeyecek kadar zor, tahmin edilemeyecek kadar karmaşık duygular ve arzular vardır. O arzuların karanlık olanlarına gelince; işte onlar oldukça soğuktur ve kişiyi adeta buzdan bir kütleye çevirir. Gözleri kör eden bu ürkütücü ruh halleri, insanın aklının ucundan bile geçiremeyeceği şeyleri yapmasını sağlar. Benim işim, karanlıkta kalmış bu insanların yol açtığı kötülükleri sona erdirmek. Suçluları ayrı ayrı çözümlemeyip, her kılığa bürünebilme yeteneğimle doğru izlerin peşinden gittiğime inanıyorum. Uyguladığım yöntemler ise, en az izini sürdüğüm suçlular kadar farklı. Ve şunu bilmenizi isterim ki, kesinlikle hepsi işe yarıyor. Dünyaca ünlü dedektif Sherlock Holmes, kendine özgü karakteri ve yaşadığı birbirinden farklı maceralarıyla uzun yıllardan beri siz okurları etkisi altında tutmaya devam ediyor. Çarpıcı hikayelerden oluşan bu eser, sizi insan zekasını zorlayan tuhaf suçlar ve cinayetler dünyasında gezdirirken, gerçeğe giden bir yolda yalnız olmadığınızı dahissettiriyor.Varlığımızı, varlığımızın anlamını sorgularken başvurabileceğimiz en yetkin bilinçtir.Bu harika eseri, bu bilinçle okumalı, tekrar okumalı, her zaman okumalı ve başucumuzda saklamalıyız, aklımız her karıştığında bakabilmemiz için...(Tanıtım Bülteninden)Kanunun diğer yanında yer alsaydım, en başarılı suçlu olurdum. Sherlock Holmesİnsan beyninde çözülemeyecek kadar zor, tahmin edilemeyecek kadar karmaşık duygular ve arzular vardır. O arzuların karanlık olanlarına gelince; işte onlar oldukça soğuktur ve kişiyi adeta buzdan bir kütleye çevirir. Gözleri kör eden bu ürkütücü ruh halleri, insanın aklının ucundan bile geçiremeyeceği şeyleri yapmasını sağlar. Benim işim, karanlıkta kalmış bu insanların yol açtığı kötülükleri sona erdirmek. Suçluları ayrı ayrı çözümlemeyip, her kılığa bürünebilme yeteneğimle doğru izlerin peşinden gittiğime inanıyorum. Uyguladığım yöntemler ise, en az izini sürdüğüm suçlular kadar farklı. Ve şunu bilmenizi isterim ki, kesinlikle hepsi işe yarıyor. Dünyaca ünlü dedektif Sherlock Holmes, kendine özgü karakteri ve yaşadığı birbirinden farklı maceralarıyla uzun yıllardan beri siz okurları etkisi altında tutmaya devam ediyor. Çarpıcı hikayelerden oluşan bu eser, sizi insan zekasını zorlayan tuhaf suçlar ve cinayetler dünyasında gezdirirken, gerçeğe giden bir yolda yalnız olmadığınızı dahissettiriyor.Varlığımızı, varlığımızın anlamını sorgularken başvurabileceğimiz en yetkin bilinçtir.Bu harika eseri, bu bilinçle okumalı, tekrar okumalı, her zaman okumalı ve başucumuzda saklamalıyız, aklımız her karıştığında bakabilmemiz için...(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001794494001-1.jpg
Mavi Yakut-Sherlock Holmes,Sir Arthur Conan Doyle,Martı Yayınları,2019,,9786051868998,Polisiye,"""Kanunun diğer yanında yer alsaydım, en başarılı suçlu olurdum.""Sherlock Holmesİnsan beyninde çözülemeyecek kadar zor, tahmin edilemeyecek kadar karmaşık duygular ve arzular vardır. O arzuların karanlık olanlarına gelince; işte onlar oldukça soğuktur ve kişiyi adeta buzdan bir kütleye çevirir. Gözleri kör eden bu ürkütücü ruh halleri, insanın aklının ucundan bile geçiremeyeceği şeyleri yapmasını sağlar. Benim işim, karanlıkta kalmış bu insanların yol açtığı kötülükleri sona erdirmek. Suçluları ayrı ayrı çözümlemeyip, her kılığa bürünebilme yeteneğimle doğru izlerin peşinden gittiğime inanıyorum. Uyguladığım yöntemler ise, en az izini sürdüğüm suçlular kadar farklı. Ve şunu bilmenizi isterim ki, kesinlikle hepsi işe yarıyor. Dünyaca ünlü dedektif Sherlock Holmes, kendine özgü karakteri ve yaşadığı birbirinden farklı maceralarıyla uzun yıllardan beri siz okurları etkisi altında tutmaya devam ediyor. Çarpıcı hikayelerden oluşan bu eser, sizi insan zekasını zorlayan tuhaf suçlar ve cinayetler dünyasında gezdirirken, gerçeğe giden bir yolda yalnız olmadığınızı da hissettiriyor. Varlığımızı, varlığımızın anlamını sorgularken başvurabileceğimiz en yetkin bilinçtir. Bu harika eseri, bu bilinçle okumalı, tekrar okumalı, her zaman okumalı ve başucumuzda saklamalıyız, aklımız her karıştığında bakabilmemiz için…(Tanıtım Bülteninden)""Kanunun diğer yanında yer alsaydım, en başarılı suçlu olurdum.""Sherlock Holmesİnsan beyninde çözülemeyecek kadar zor, tahmin edilemeyecek kadar karmaşık duygular ve arzular vardır. O arzuların karanlık olanlarına gelince; işte onlar oldukça soğuktur ve kişiyi adeta buzdan bir kütleye çevirir. Gözleri kör eden bu ürkütücü ruh halleri, insanın aklının ucundan bile geçiremeyeceği şeyleri yapmasını sağlar. Benim işim, karanlıkta kalmış bu insanların yol açtığı kötülükleri sona erdirmek. Suçluları ayrı ayrı çözümlemeyip, her kılığa bürünebilme yeteneğimle doğru izlerin peşinden gittiğime inanıyorum. Uyguladığım yöntemler ise, en az izini sürdüğüm suçlular kadar farklı. Ve şunu bilmenizi isterim ki, kesinlikle hepsi işe yarıyor. Dünyaca ünlü dedektif Sherlock Holmes, kendine özgü karakteri ve yaşadığı birbirinden farklı maceralarıyla uzun yıllardan beri siz okurları etkisi altında tutmaya devam ediyor. Çarpıcı hikayelerden oluşan bu eser, sizi insan zekasını zorlayan tuhaf suçlar ve cinayetler dünyasında gezdirirken, gerçeğe giden bir yolda yalnız olmadığınızı da hissettiriyor. Varlığımızı, varlığımızın anlamını sorgularken başvurabileceğimiz en yetkin bilinçtir. Bu harika eseri, bu bilinçle okumalı, tekrar okumalı, her zaman okumalı ve başucumuzda saklamalıyız, aklımız her karıştığında bakabilmemiz için…(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001794868001-1.jpg
Brüksel Lahanası,Jake W. Stephenson,Alfa Yayıncılık,2006,,9789752977150,Polisiye,"Avrupa Birliği’nin kalbi olan Brüksel sıcak terör tehlikesiyle karşı karşıya... Kentin merkezine atom bombası yerleştirdiğini söyleyen teröristler, Brüksel’i yeryüzünden silmekle tehdit ediyor. Alarma geçen Belçika polisi işin içinden kendi imkanlarıyla çıkamayınca Türk polisinden yardım istiyor. Türk Emniyeti’nin devreye girmesiyle Avrupa’nın kaderi ‘Türk zekası’nın ellerine teslim ediliyor. Ancak patlama günü yaklaştıkça gerginlik tırmanıyor. Belçika’nın güvenlik birimlerini ve siyasilerini birbirine katan bu inanılmaz komplonun arkasında hangi terör örgütü var? Belçika Hükümeti teröristlerin blöf yaptığına mı karar verecek, yoksa istedikleri 1 milyar Euro’yu ödeyecek mi? Brüksel-Ankara-Zürih üçgeninde geçen bu üç haftalık nefes kesen kovalamacanın sonunda kazanan kim olacak? Brüksel Lahanası, bir solukta okuyacağınız, nefis, ironik bir polisiye.Sayfa Sayısı: 320Baskı Yılı: 2006Dili: TürkçeYayınevi: Alfa Yayıncılık                            ",https://i.idefix.com/cache/150x242-0/originals/0000000196987-1.jpg
Kafam Bozuk,Necati Göksel,Altın Kitaplar,2018,,9789752124301,Polisiye,"Işığın etrafındaki sinekler gibi huşu içinde dönüyorlardı. Ormanları yakıyor sonra banknot blokları dikiyorlardı. Parayı tavaf ediyor, kendilerinden geçiyor, sonra bana bulaşıyorlardı. Yabancı bir şehre indim; kimse beni tanımasın, bilmesin, biraz huzur bulayım diye. Fakat mıknatıs gibiydim. Parayı, kadını hatta belayı çekmekte üstüme yoktu. Bilmiyorum, belki sila- hımı yaptıkları alaşımda özel bir çekim kuvveti ya da benim hamurumda yanlış bir şey vardı. Benim adım Ayaz. Kafam fena halde bozuk. Hiddetim şiddetimi besliyor, şiddetimse beni dünyaya karşı daha da sinirlendiriyor. Bu dandik hayatı benim ağzımdan dinlemek istersen kitabın kapağını aç, yoksa kitabı bırak ve bas git!(Tanıtım Bülteninden)Işığın etrafındaki sinekler gibi huşu içinde dönüyorlardı. Ormanları yakıyor sonra banknot blokları dikiyorlardı. Parayı tavaf ediyor, kendilerinden geçiyor, sonra bana bulaşıyorlardı. Yabancı bir şehre indim; kimse beni tanımasın, bilmesin, biraz huzur bulayım diye. Fakat mıknatıs gibiydim. Parayı, kadını hatta belayı çekmekte üstüme yoktu. Bilmiyorum, belki sila- hımı yaptıkları alaşımda özel bir çekim kuvveti ya da benim hamurumda yanlış bir şey vardı. Benim adım Ayaz. Kafam fena halde bozuk. Hiddetim şiddetimi besliyor, şiddetimse beni dünyaya karşı daha da sinirlendiriyor. Bu dandik hayatı benim ağzımdan dinlemek istersen kitabın kapağını aç, yoksa kitabı bırak ve bas git!(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001776244001-1.jpg
Amsterdam''ın Gülü,Sadık Yemni,Everest Yayınları,1996,,9789752890619,Polisiye,"Amsterdam''''da yaşayan zengin bir Türk işadamı olan Sabri Somat''''ın 17 yaşındaki kızı Selma ansızın ortadan kaybolur. Polisin araştırmasından herhangi bir sonuç çıkmayınca Sabri Bey, kızını bulması için Orhan Demir adlı bir dedektif tutar. Aynı zamanda Eurotürk''''ün tarihindeki ilk yerli dedektif tiplemesi olan Orhan Demir, yardımcısı Mikrop Halil''''le birlikte, kat kat lahana gibi iç içe duran bir sır perdesini aralamak üzere kolları sıvar.Sadık Yemni''''nin yurt dışında yaşayan göçmenlerimizin iç dünyalarıyla ayrımcılık ve ırkçılık gibi konulara da el attığı, mizah yüklü, erotik titreşimli ve sıkı gerilimli polisiyesi..Sayfa Sayısı: 198Baskı Yılı: 2003Dili: TürkçeYayınevi: Everest Yayınları                            ",https://i.idefix.com/cache/150x242-0/originals/0000000132423-1.jpg
Otuz Dokuz Basamak,John Buchan,İthaki Yayınları,2022,144,9786258401547,Polisiye,"“Buchan eserlerim üzerinde büyük bir etkiye sahipti.” –Alfred HitchcockRichard Hannay, Birinci Dünya Savaşı arifesinde Londra’ya geldiğinde sıkıntıyla dolu günlerini geçirmek için meşgale arayan “sıradan” biridir. Oysa tüm hayatı siyasi bir suikastı önlemek için yardım bulmaya çalışan bir Amerikan ajanıyla karşılaşmasının ardından değişecektir. Hannay dünyayı sarsacak bir komplonun anahtarını elinde tutacak, günlerini hem polisten hem de gizemli bir örgütten kaçarak geçirecektir.Otuz Dokuz Basamak başta Alfred Hitchcock olmak üzere birçok yönetmen tarafından sinemaya uyarlandı. Buchan, siyasi zekânın ya da aristokrasinin belirlediği sınırlar içinde davranmayan bağımsız ajan örneğiyle James Bond da dahil olmak üzere sayısız casus kahraman için de nihai modeli yarattı.(Tanıtım Bülteninden)“Buchan eserlerim üzerinde büyük bir etkiye sahipti.” –Alfred HitchcockRichard Hannay, Birinci Dünya Savaşı arifesinde Londra’ya geldiğinde sıkıntıyla dolu günlerini geçirmek için meşgale arayan “sıradan” biridir. Oysa tüm hayatı siyasi bir suikastı önlemek için yardım bulmaya çalışan bir Amerikan ajanıyla karşılaşmasının ardından değişecektir. Hannay dünyayı sarsacak bir komplonun anahtarını elinde tutacak, günlerini hem polisten hem de gizemli bir örgütten kaçarak geçirecektir.Otuz Dokuz Basamak başta Alfred Hitchcock olmak üzere birçok yönetmen tarafından sinemaya uyarlandı. Buchan, siyasi zekânın ya da aristokrasinin belirlediği sınırlar içinde davranmayan bağımsız ajan örneğiyle James Bond da dahil olmak üzere sayısız casus kahraman için de nihai modeli yarattı.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001976093001-1.jpg
Türk Sokağı'ndaki Ev,Dashiell Hammett,Everest Yayınları,2013,,9786051416120,Polisiye,"1920'lerin 1930'ların Amerika'sı... Değer yargıları hızla çürümekte, para kazanmak için her yol mubah görülmekte. Bireysel ya da birkaç kişinin bir araya gelmesiyle işlenen suçlar, fuhuş, kumar, kaçakçılık gibi daha geniş alanlara yayılarak örgütlü bir hal almış. Mafya ile siyasetçiler kol kola...Üst sınıflardan başlayarak toplum bir suç sarmalının içine girmiş. Bütün bunlarla uğraşmaya çalışan isimsiz, gösterişsiz, işini iyi yapmaya çalışan bir adam. Son derece riskli bir işte çalışan bir emekçi. Ama bazen işler karışır, vicdanı da devreye girer. Bu işleri daha da zorlaştıracaktır ama insan kalmanın başka yolu da yoktur.Polisiye cepte serisi, Raymond Chandler'in ardından polisiye türünün büyük ustası Dashiel Hammett ile devam ediyor. Hammett serisinin beşinci kim olan ""Türk Sokağı'ndaki Ev"", Sinan Fîşe'kin yetkin çevirisi ile okurlarıyla buluşuyor. Everest yayınları olarak Amerikan polisiyesinin kült isimlerinden Dashiel Hammett külliyatını, Türk polisiyesinin usta ismi Ahmet Ümit'in editörlüğünde sunmaktan mutluluk duyuyoruz.Sayfa Sayısı: 316Baskı Yılı: 2013Dili: TürkçeYayınevi: Everest Yayınları                            ",https://i.idefix.com/cache/150x242-0/originals/0000000443186-1.jpg
Çıplak Ayaklıydı Gece,Ahmet Ümit,Yapı Kredi Yayınları,2019,,9789750846366,Polisiye,"Yeniden dövüşebilmek için kaçıyordukDevrimden söz edince ne gelir insanın aklına? Belki kayıplar, belki yenilgi ya da korku ama en çok da umut, daha güzel bir dünya hayali ve direniş. Ahmet Ümit’in her yaştan, her duygudan örülmüş devrimcileri, bir yandan kendi hikâyeleriyle hesaplaşırken bir yandan da Türkiye’nin yakın tarihine kendi ışığını tutuyor.Bizim yüreklerimizde sınır yoktuPolisiye romanların usta yazarı Ahmet Ümit, bu kez öykünün yoğun, çarpıcı ve keskin dilini kullanarak bazen şiirsel, bazen sorgulayıcı, bazen de yürek burkan “devrim” hikâyeleriyle okurun karşısına çıkıyor. Çıplak Ayaklıydı Gece’de bir araya gelen dokuz öykü, herkesi hem kişisel hem de ortak geçmişiyle yüzleşmeye çağırıyor.Gözbebeklerinin büyüdüğünü fark ettim. Onun gözbebeklerinin içinde, masmavi bir gökyüzünün altında, şekerkamışı ve palmiyelerle kaplı bir dağın yamacında Che’yi gördüm. Arkadaşları çevresini sarmıştı, tüfeği dizlerinin üzerindeydi. Saçları yine gürdü, sakalları seyrekti ve yine çok yakışıklıydı.(Tanıtım Bülteninden)Yeniden dövüşebilmek için kaçıyordukDevrimden söz edince ne gelir insanın aklına? Belki kayıplar, belki yenilgi ya da korku ama en çok da umut, daha güzel bir dünya hayali ve direniş. Ahmet Ümit’in her yaştan, her duygudan örülmüş devrimcileri, bir yandan kendi hikâyeleriyle hesaplaşırken bir yandan da Türkiye’nin yakın tarihine kendi ışığını tutuyor.Bizim yüreklerimizde sınır yoktuPolisiye romanların usta yazarı Ahmet Ümit, bu kez öykünün yoğun, çarpıcı ve keskin dilini kullanarak bazen şiirsel, bazen sorgulayıcı, bazen de yürek burkan “devrim” hikâyeleriyle okurun karşısına çıkıyor. Çıplak Ayaklıydı Gece’de bir araya gelen dokuz öykü, herkesi hem kişisel hem de ortak geçmişiyle yüzleşmeye çağırıyor.Gözbebeklerinin büyüdüğünü fark ettim. Onun gözbebeklerinin içinde, masmavi bir gökyüzünün altında, şekerkamışı ve palmiyelerle kaplı bir dağın yamacında Che’yi gördüm. Arkadaşları çevresini sarmıştı, tüfeği dizlerinin üzerindeydi. Saçları yine gürdü, sakalları seyrekti ve yine çok yakışıklıydı.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001853621001-1.jpg
Şeytanın Çırağı,Şiro Hamao,İthaki Yayınları,2021,128,9786258475418,Polisiye,"“Sayın Savcı Tsuchida, bir katil zanlısı olarak burada tutuluyorum. Fakat belki de aslında katil ben değilim. Evet. Belki. Böyle söylemek zorunda kaldığım için üzgünüm.”Japon polisiyesinin temellerini atan yazarlardan biri olan ve Japonya’nın en ünlü polisiye yazarı Edogava Ranpo’yu da etkileyen Şiro Hamao,Şeytanın Çırağı’ndaki iki kısa romanda iki farklı cinayetin portresini tüyler ürpertecek şekilde çiziyor.İlk kısa roman “Şeytanın Çırağı”nda yazdığı günlük yüzünden genç bir kadının ölümünden sorumlu tutulan anlatıcı, davanın savcısına gönderdiği sarsıcı mektupta hem başka suçları için günah çıkarıyor hem de yaptıkları için çocukluk arkadaşı olan savcıyı suçluyor. İkinci kısa roman “Onları Öldürdü mü?”de genç bir avukat, herkes tarafından cinayeti işlediğine kesin gözüyle bakılan ve suçunu kabul de eden bir adamın masum olma ihtimalinin peşinden gidiyor.(Tanıtım Bülteninden)“Sayın Savcı Tsuchida, bir katil zanlısı olarak burada tutuluyorum. Fakat belki de aslında katil ben değilim. Evet. Belki. Böyle söylemek zorunda kaldığım için üzgünüm.”Japon polisiyesinin temellerini atan yazarlardan biri olan ve Japonya’nın en ünlü polisiye yazarı Edogava Ranpo’yu da etkileyen Şiro Hamao,Şeytanın Çırağı’ndaki iki kısa romanda iki farklı cinayetin portresini tüyler ürpertecek şekilde çiziyor.İlk kısa roman “Şeytanın Çırağı”nda yazdığı günlük yüzünden genç bir kadının ölümünden sorumlu tutulan anlatıcı, davanın savcısına gönderdiği sarsıcı mektupta hem başka suçları için günah çıkarıyor hem de yaptıkları için çocukluk arkadaşı olan savcıyı suçluyor. İkinci kısa roman “Onları Öldürdü mü?”de genç bir avukat, herkes tarafından cinayeti işlediğine kesin gözüyle bakılan ve suçunu kabul de eden bir adamın masum olma ihtimalinin peşinden gidiyor.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001950245001-1.jpg
